"agency_code","agency_collection_num","collection_id","code","name","street","city","zip","region","site_code","site_name","site_street","site_city","site_zip","site_region","calculated_neighborhood","calculated_neighborhood_distance","calculated_city","calculated_city_distance","calculated_subcounty","calculated_county","calculated_state","longitude","latitude","coordinate_precision","group","identified_by","trap_type","lure","collection_date","disease_week","num_trap","trap_nights","trap_problem","comments","species","add_date","add_user","males","females - mixed","females - gravid"
"CNSL",118,3403978,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; 8215 N Yorktown","Culex quinquefasciatus","2025-04-21T16:10:57.398Z",1032,0,6,0
"CNSL",119,3403980,"001119","122022-803","Friant and Audubon","Fresno","93720",222,"001119","122022-803","Friant and Audubon","Fresno","93720",222,"","","","","","","",-119.782428,36.868803,2,"","JB- Collected by CR","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; WWP, down hill in shrubs","Culex quinquefasciatus","2025-04-21T16:13:11.390Z",1032,0,2,0
"CNSL",119,3403980,"001119","122022-803","Friant and Audubon","Fresno","93720",222,"001119","122022-803","Friant and Audubon","Fresno","93720",222,"","","","","","","",-119.782428,36.868803,2,"","JB- Collected by CR","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; WWP, down hill in shrubs","Culex tarsalis","2025-04-21T16:13:11.390Z",1032,0,6,0
"CNSL",121,3403983,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; Friant, Fish Hatchery","Culex stigmatosoma","2025-04-21T16:14:51.567Z",1032,0,1,0
"CNSL",121,3403983,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; Friant, Fish Hatchery","Culex tarsalis","2025-04-21T16:14:51.567Z",1032,0,1,0
"CNSL",122,3403989,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Carbon dioxide baited trap","","2025-04-16T07:00:00.000Z",16,1,1,false,"Fixed; Collins Creek/ Paxton's middle of trail","Culex thriambus","2025-04-21T16:18:00.358Z",1032,0,1,0
"CNSL",122,3403989,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Carbon dioxide baited trap","","2025-04-16T07:00:00.000Z",16,1,1,false,"Fixed; Collins Creek/ Paxton's middle of trail","Aedes melanimon","2025-04-21T16:18:00.358Z",1032,0,1,0
"CNSL",123,3404008,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"Random; 3187 Palo Alto","Culex quinquefasciatus","2025-04-21T16:31:00.545Z",1032,0,0,10
"CNSL",124,3404013,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site A","Culex quinquefasciatus","2025-04-21T16:33:32.049Z",1032,2,0,0
"CNSL",124,3404013,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site A","Culex quinquefasciatus","2025-04-21T16:33:32.049Z",1032,0,0,16
"CNSL",125,3404018,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site B","Culex quinquefasciatus","2025-04-21T16:34:50.034Z",1032,0,0,5
"CNSL",127,3404022,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.732597,36.826664,2,"","JB- Collected by MT","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Chestnut and Bullard, olive orchard","Culex quinquefasciatus","2025-04-21T16:37:09.424Z",1032,0,0,16
"CNSL",127,3404022,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.732597,36.826664,2,"","JB- Collected by MT","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Chestnut and Bullard, olive orchard","Culex stigmatosoma","2025-04-21T16:37:09.424Z",1032,0,0,1
"CNSL",128,3404026,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Random; 3187 Palo Alto","Culex quinquefasciatus","2025-04-21T16:38:13.695Z",1032,0,6,0
"CNSL",128,3404026,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Random; 3187 Palo Alto","Culex tarsalis","2025-04-21T16:38:13.695Z",1032,0,3,0
"CNSL",129,3404029,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site A","Culex quinquefasciatus","2025-04-21T16:39:54.441Z",1032,0,2,0
"CNSL",129,3404029,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site A","Culex erythrothorax","2025-04-21T16:39:54.441Z",1032,0,2,0
"CNSL",129,3404029,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site A","Culex tarsalis","2025-04-21T16:39:54.441Z",1032,0,5,0
"CNSL",129,3404029,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site A","Anopheles freeborni","2025-04-21T16:39:54.441Z",1032,0,4,0
"CNSL",129,3404029,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site A","Culiseta inornata","2025-04-21T16:39:54.441Z",1032,0,1,0
"CNSL",130,3404032,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site B","Culex tarsalis","2025-04-21T16:41:55.164Z",1032,0,51,0
